
23;In Deutschland sind die meisten Erwerbstätigen …;bei einer Firma oder Behörde beschäftigt.
24;Wie viele Bundesländer hat die Bundesrepublik Deutschland?;16
25;Was ist kein Bundesland der Bundesrepublik Deutschland?;Elsass-Lothringen
26;Deutschland ist …;ein demokratischer und sozialer Bundesstaat.
27;Deutschland ist …;ein Bundesstaat.
28;Wer wählt in Deutschland die Abgeordneten zum Bundestag?;das wahlberechtigte Volk
29;Welches Tier ist das Wappentier der Bundesrepublik Deutschland?;Adler
241;Frau Seger bekommt ein Kind. Was muss sie tun, um Elterngeld zu erhalten?;Sie muss einen Antrag bei der Elterngeldstelle stellen.
242;Wer entscheidet, ob ein Kind in Deutschland in den Kindergarten geht?;die Eltern / die Erziehungsberechtigten
243;Maik und Sybille wollen mit Freunden an ihrem deutschen Wohnort eine Demonstration auf der Straße abhalten. Was müssen sie vorher tun?;Sie müssen die Demonstration anmelden.
244;Welchen Schulabschluss braucht man normalerweise, um an einer Universität in Deutschland ein Studium zu beginnen?;das Abitur
245;Wer darf in Deutschland nicht als Paar zusammenleben?;Anne (13 Jahre) und Tim (25 Jahre)
246;Ab welchem Alter ist man in Deutschland volljährig?;18
247;Eine Frau ist schwanger. Sie ist kurz vor und nach der Geburt ihres Kindes vom Gesetz besonders beschützt. Wie heißt dieser Schutz?;Mutterschutz
248;Die Erziehung der Kinder ist in Deutschland vor allem Aufgabe …;der Eltern.
249;Wer ist in Deutschland hauptsächlich verantwortlich für die Kindererziehung?;die Eltern
250;In Deutschland hat man die besten Chancen auf einen gut bezahlten Arbeitsplatz, wenn man …;gut ausgebildet ist.
251;Wenn man in Deutschland ein Kind schlägt, …;kann man dafür bestraft werden.
252;In Deutschland …;darf man zur gleichen Zeit nur mit einem Partner / einer Partnerin verheiratet sein.
253;Wo müssen Sie sich anmelden, wenn Sie in Deutschland umziehen?;beim Einwohnermeldeamt
254;In Deutschland dürfen Ehepaare sich scheiden lassen. Meistens müssen sie dazu das „Trennungsjahr“ einhalten. Was bedeutet das?;Mann und Frau führen mindestens ein Jahr getrennt ihr eigenes Leben. Danach ist die Scheidung möglich.
255;Bei Erziehungsproblemen können Eltern in Deutschland Hilfe erhalten vom …;Jugendamt.
256;Ein Ehepaar möchte in Deutschland ein Restaurant eröffnen. Was braucht es dazu unbedingt?;eine Gaststättenerlaubnis von der zuständigen Behörde
257;Eine erwachsene Frau möchte in Deutschland das Abitur nachholen. Das kann sie an …;einem Abendgymnasium.
258;Was darf das Jugendamt in Deutschland?;Es kann ein Kind, das geschlagen wird oder hungern muss, aus der Familie nehmen.
259;Das Berufsinformationszentrum BIZ bei der Bundesagentur für Arbeit in Deutschland hilft bei der …;Lehrstellensuche.
260;In Deutschland hat ein Kind in der Schule …;Anwesenheitspflicht.
261;Ein Mann möchte mit 30 Jahren in Deutschland sein Abitur nachholen. Wo kann er das tun? An …;einem Abendgymnasium
262;Was bedeutet in Deutschland der Grundsatz der Gleichbehandlung?;Niemand darf z.B. wegen einer Behinderung benachteiligt werden.
263;In Deutschland sind Jugendliche ab 14 Jahren strafmündig. Das bedeutet: Jugendliche, die 14 Jahre und älter sind und gegen Strafgesetze verstoßen, …;werden bestraft.
264;Zu welchem Fest tragen Menschen in Deutschland bunte Kostüme und Masken?;am Rosenmontag
265;Wohin muss man in Deutschland zuerst gehen, wenn man heiraten möchte?;zum Standesamt
266;Wann beginnt die gesetzliche Nachtruhe in Deutschland?;um 22 Uhr
267;Eine junge Frau in Deutschland, 22 Jahre alt, lebt mit ihrem Freund zusammen. Die Eltern der Frau finden das nicht gut, weil ihnen der Freund nicht gefällt. Was können die Eltern tun?;Sie müssen die Entscheidung der volljährigen Tochter respektieren.
268;Eine junge Frau will den Führerschein machen. Sie hat Angst vor der Prüfung, weil ihre Muttersprache nicht Deutsch ist. Was ist richtig?;Sie kann die Theorie-Prüfung vielleicht in ihrer Muttersprache machen. Es gibt mehr als zehn Sprachen zur Auswahl.
269;In Deutschland haben Kinder ab dem Alter von drei Jahren bis zur Ersteinschulung einen Anspruch auf …;einen Kindergartenplatz.
270;Die Volkshochschule in Deutschland ist eine Einrichtung …;zur Weiterbildung.
